username, created_at, lng, lat, text
Pumpi91, Fri Jan 29 20:44:20 +0000 2021, -87.732013, 41.833585, @DanCheck @IMPACTWRESTLING @shopimpactdeals @swinger_johnny Hmmmm https://t.co/CYkoBLW9hp 
ThatGuyEdub, Fri Jan 29 20:44:20 +0000 2021, -83.804475, 27.698682, @piratefalcon325 @eldaino @iameldiablito @nerdist https://t.co/Z03WZcK6fa 
4Tone4Ever, Fri Jan 29 20:44:21 +0000 2021, -122.230661, 37.772524, @coileray 🔥 @ 4Tone 4Ever https://t.co/Lshar8GxW8 
AmberOr55491705, Fri Jan 29 20:44:21 +0000 2021, -86.760091, 33.385555, @godlywomanhood God I’m glad I escaped my family! They learned from people like this excuse for decent human being!… https://t.co/8IEwPVs4ug 
maribelg1983, Fri Jan 29 20:44:21 +0000 2021, -83.804475, 27.698682, #thenandnowchallenge🏆 #thenandnowchallenge2021 #flashbackfriday https://t.co/e0yJmNqpLX 
FG_SlickRick, Fri Jan 29 20:44:21 +0000 2021, -76.620482, 39.284713, “Crack you in ya shit just to see what’s on ya mind🖤 
Big_G_09, Fri Jan 29 20:44:21 +0000 2021, -106.664325, 52.150078, @dannogallagher7 No clue but one awesome old picture ⚾ #Expos #ExposNation 
Michsteer, Fri Jan 29 20:44:21 +0000 2021, -117.706310, 33.529449, @tracehodge17 Happy Friday to you ❤️ 
Emilyvaughnx, Fri Jan 29 20:44:21 +0000 2021, -118.411907, 34.020789, still decorating my room but hello i am a Hollywood princess https://t.co/SpcwQ1Cmwz 
bittymac3, Fri Jan 29 20:44:21 +0000 2021, -73.948775, 40.655138, https://t.co/NArGP3MPf7 
SpoonfulDisney, Fri Jan 29 20:44:21 +0000 2021, -81.529538, 28.710746, @CalebFrye3 @The_Wotch @GratDisMemes Cutouts are currently in place 
Elijahwonbanks, Fri Jan 29 20:44:21 +0000 2021, -82.985772, 39.994684, My passion often comes before the words 
JohnRiveraGLM, Fri Jan 29 20:44:21 +0000 2021, -88.049247, 42.115128, Let’s get it @GreaterLakesMkt !#MakingWaves🌊 https://t.co/EX0sGZy4kv 
CTDOT_Statewide, Fri Jan 29 20:44:21 +0000 2021, -72.357720, 41.865491, Cleared: Road Work - TOLLAND #I84 West at Exit 68 (RTE 195) at 1/29/2021 3:44:11 PM 
babeychichi, Fri Jan 29 20:44:21 +0000 2021, -80.353332, 25.772288, And it sure did, thank you everyone who retweets chi love you ❤️ https://t.co/m5NLbJbiTv 
KatSosnick, Fri Jan 29 20:44:21 +0000 2021, -73.968542, 40.780709, Hedge funds were dropping digital confetti when they drove up #TSLA stock to 1000% plus, but crying foul when retai… https://t.co/DQPPewfgXf 
CTDOT_District4, Fri Jan 29 20:44:21 +0000 2021, -73.357895, 41.423676, Cleared: Road Work - NEWTOWN #I84 East at Exit 9 (RTE 25) at 1/29/2021 3:44:11 PM 
CTDOT_District1, Fri Jan 29 20:44:21 +0000 2021, -72.357720, 41.865491, Cleared: Road Work - TOLLAND #I84 West at Exit 68 (RTE 195) at 1/29/2021 3:44:11 PM 
thequeenjaniah, Fri Jan 29 20:44:21 +0000 2021, -77.605207, 43.127268, This is fuckin carly 
CTDOT_Statewide, Fri Jan 29 20:44:21 +0000 2021, -72.399563, 41.590848, Cleared: Road Work - COLCHESTER #RT2 East at Exit 16 (RTE 149) at 1/29/2021 3:44:11 PM 
CTDOT_District1, Fri Jan 29 20:44:21 +0000 2021, -72.763905, 41.536187, Cleared: Road Work - MERIDEN #I91 North at Exit 18 (RTE 66 EB) at 1/29/2021 3:44:11 PM 
whoinvitedboris, Fri Jan 29 20:44:21 +0000 2021, -87.348367, 41.415222, @kim_jong_unagi @brose_5 @brianrice999 @PleaseCOOPERate i am mostly hearing excuses. be better. 
aarodrnavrr, Fri Jan 29 20:44:21 +0000 2021, -104.922093, 39.713563, Some people think I’m homoerotic but I can’t blame them because I be saying some gay a$$ shit at times 
